artifact_id,class,binaries,stripped,stripped_pct,static_linked,static_pct,dynsym_only,dynsym_only_pct,note
oci-alpine-3.20,oci-base,0,0,0.0,0,0.0,0,0.0,prepare:no payload in /home/gautamtalksdev/projects/Lading/corpus/downloads/oci-alpine-3.20
oci-debian-bookworm-slim,oci-base,790,790,100.0,6,0.8,789,99.9,cached
oci-ubuntu-22.04,oci-base,845,844,99.9,5,0.6,843,99.8,cached
oci-ubuntu-24.04,oci-base,827,827,100.0,6,0.7,826,99.9,cached
oci-amazonlinux-2023,oci-base,642,637,99.2,13,2.0,635,98.9,cached
oci-fedora-40,oci-base,1357,1352,99.6,11,0.8,1350,99.5,cached
oci-rockylinux-9,oci-base,1368,1363,99.6,13,1.0,1361,99.5,cached
oci-busybox-latest,oci-base,422,422,100.0,1,0.2,422,100.0,cached
oci-ubi9-minimal,oci-base,642,637,99.2,7,1.1,635,98.9,cached
oci-nginx-1.25,oci-app,1055,1055,100.0,18,1.7,1054,99.9,cached
oci-redis-7,oci-app,802,796,99.3,6,0.7,795,99.1,cached
oci-postgres-16,oci-app,1045,1044,99.9,39,3.7,1043,99.8,cached
oci-httpd-2.4,oci-app,949,807,85.0,10,1.1,806,84.9,cached
oci-node-20,oci-app,2026,1989,98.2,44,2.2,1986,98.0,cached
oci-python-3.12,oci-app,837,836,99.9,10,1.2,835,99.8,cached
oci-ruby-3.3,oci-app,847,734,86.7,17,2.0,733,86.5,cached
oci-memcached-1.6,oci-app,758,757,99.9,6,0.8,756,99.7,cached
oci-traefik-v3,oci-app,24,21,87.5,4,16.7,20,83.3,cached
oci-grafana-11,oci-app,146,140,95.9,11,7.5,138,94.5,cached
oci-mariadb-11,oci-app,1099,1096,99.7,9,0.8,1095,99.6,cached
oci-rabbitmq-3,oci-app,941,887,94.3,20,2.1,885,94.0,cached
openwrt-23.05-x86-64-rootfs,openwrt,301,249,82.7,120,39.9,0,0.0,from-rootfs
openwrt-snapshot-x86-rootfs,openwrt,282,240,85.1,106,37.6,0,0.0,from-rootfs
bin-ripgrep-14.1.0,static-binary,1,1,100.0,1,100.0,0,0.0,from-rootfs
bin-fd-10.2.0,static-binary,1,1,100.0,1,100.0,0,0.0,from-rootfs
bin-bat-0.24.0,static-binary,1,1,100.0,1,100.0,0,0.0,from-rootfs
bin-cosign-2.2.4,static-binary,1,0,0.0,1,100.0,0,0.0,cached
bin-helm-3.15.3,static-binary,1,1,100.0,1,100.0,0,0.0,from-rootfs
bin-jq-1.7.1,static-binary,1,1,100.0,1,100.0,0,0.0,cached
bin-restic-0.16.4,static-binary,1,1,100.0,1,100.0,0,0.0,from-rootfs
bin-hugo-0.128.0,static-binary,1,1,100.0,0,0.0,1,100.0,from-rootfs
subst-golang-bookworm,substitute-container,285,285,100.0,2,0.7,285,100.0,cached
openwrt-23.05-x86-64-rootfs-oci,substitute-container,301,249,82.7,120,39.9,0,0.0,cached
openwrt-22.03-x86-64-rootfs,substitute-container,297,248,83.5,116,39.1,0,0.0,cached
subst-alpine-319,substitute-container,21,18,85.7,3,14.3,18,85.7,cached
subst-httpd-alpine,substitute-container,280,138,49.3,10,3.6,138,49.3,cached
subst-memcached-alpine,substitute-container,45,44,97.8,3,6.7,44,97.8,cached
subst-mosquitto,substitute-container,73,73,100.0,3,4.1,73,100.0,cached
zephyr-sdk-0.16.5,rtos-sdk,3536,1169,33.1,2114,59.8,1169,33.1,from-rootfs
esp-idf-tools,rtos-sdk,3,0,0.0,3,100.0,0,0.0,from-rootfs
arm-gnu-toolchain,rtos-sdk,557,0,0.0,507,91.0,0,0.0,from-rootfs
bench-inventory-elves,benchmark,11,3,27.3,2,18.2,2,18.2,from-path-dir
fw-netgear-r7000-firmware-1.0.12.216,firmware,675,577,85.5,63,9.3,575,85.2,cached
fw-openwrt-22.03.7-ath79-archer-c7-v5,firmware,297,227,76.4,121,40.7,0,0.0,cached
fw-openwrt-22.03.7-ramips-netgear-r6220,firmware,305,236,77.4,120,39.3,0,0.0,cached
fw-openwrt-22.03.7-x86-64-squashfs,firmware,314,248,79.0,133,42.4,0,0.0,cached
fw-openwrt-23.05.5-armsr-armv8-squashfs,firmware,361,249,69.0,180,49.9,0,0.0,cached
fw-openwrt-23.05.5-ath79-archer-c7-v5,firmware,303,231,76.2,127,41.9,0,0.0,cached
fw-openwrt-23.05.5-ramips-netgear-r6220,firmware,306,240,78.4,121,39.5,0,0.0,cached
fw-openwrt-23.05.5-x86-64-squashfs,firmware,316,249,78.8,135,42.7,0,0.0,cached
fw-openwrt-24.10.0-ramips-netgear-r6220,firmware,316,243,76.9,129,40.8,0,0.0,cached
fw-openwrt-24.10.2-x86-64-squashfs,firmware,327,251,76.8,145,44.3,0,0.0,cached
fw-yocto-5.0.9-genericx86-64-minimal-wic,firmware,651,382,58.7,543,83.4,109,16.7,cached
fw-yocto-5.0.9-qemuarm64-minimal,firmware,65,65,100.0,2,3.1,64,98.5,cached
