image_id,image_ref,advisory_model,cell,consumer,unique_vulns,packages_observed,src_ne_binary,src_metric,baseline_cell,baseline_vulns,vuln_delta,vuln_loss_pct,material_loss
nginx-1.25,nginx:1.25,deb,trivy_image,trivy,409,149,114,trivy.Packages.SrcName!=Name,trivy_image,409,0,0.0,no
nginx-1.25,nginx:1.25,deb,syft_cdx__trivy,trivy,137,150,0,trivy.Packages.SrcName!=Name,trivy_image,409,-272,66.5,yes
nginx-1.25,nginx:1.25,deb,syft_spdx__trivy,trivy,0,1,0,trivy.Packages.SrcName!=Name,trivy_image,409,-409,100.0,yes
nginx-1.25,nginx:1.25,deb,grype_image,grype,407,149,114,grype.alertsByPackage.upstreams,grype_image,407,0,0.0,no
nginx-1.25,nginx:1.25,deb,syft_cdx__grype,grype,407,72,57,grype.match_artifacts.upstreams,grype_image,407,0,0.0,no
nginx-1.25,nginx:1.25,deb,syft_spdx__grype,grype,407,72,57,grype.match_artifacts.upstreams,grype_image,407,0,0.0,no
debian-bookworm-slim,debian:bookworm-slim,deb,trivy_image,trivy,87,88,62,trivy.Packages.SrcName!=Name,trivy_image,87,0,0.0,no
debian-bookworm-slim,debian:bookworm-slim,deb,syft_cdx__trivy,trivy,25,88,0,trivy.Packages.SrcName!=Name,trivy_image,87,-62,71.3,yes
debian-bookworm-slim,debian:bookworm-slim,deb,syft_spdx__trivy,trivy,0,0,0,trivy.Packages.SrcName!=Name,trivy_image,87,-87,100.0,yes
debian-bookworm-slim,debian:bookworm-slim,deb,grype_image,grype,82,88,62,grype.alertsByPackage.upstreams,grype_image,82,0,0.0,no
debian-bookworm-slim,debian:bookworm-slim,deb,syft_cdx__grype,grype,82,40,32,grype.match_artifacts.upstreams,grype_image,82,0,0.0,no
debian-bookworm-slim,debian:bookworm-slim,deb,syft_spdx__grype,grype,82,40,32,grype.match_artifacts.upstreams,grype_image,82,0,0.0,no
httpd-2.4,httpd:2.4,deb,trivy_image,trivy,129,112,85,trivy.Packages.SrcName!=Name,trivy_image,129,0,0.0,no
httpd-2.4,httpd:2.4,deb,syft_cdx__trivy,trivy,27,112,0,trivy.Packages.SrcName!=Name,trivy_image,129,-102,79.1,yes
httpd-2.4,httpd:2.4,deb,syft_spdx__trivy,trivy,0,0,0,trivy.Packages.SrcName!=Name,trivy_image,129,-129,100.0,yes
httpd-2.4,httpd:2.4,deb,grype_image,grype,127,53,44,grype.match_artifacts.upstreams,grype_image,127,0,0.0,no
httpd-2.4,httpd:2.4,deb,syft_cdx__grype,grype,127,53,44,grype.match_artifacts.upstreams,grype_image,127,0,0.0,no
httpd-2.4,httpd:2.4,deb,syft_spdx__grype,grype,127,53,44,grype.match_artifacts.upstreams,grype_image,127,0,0.0,no
alpine-3.20,alpine:3.20,apk,trivy_image,trivy,0,14,8,trivy.Packages.SrcName!=Name,trivy_image,0,0,0.0,no
alpine-3.20,alpine:3.20,apk,syft_cdx__trivy,trivy,0,14,0,trivy.Packages.SrcName!=Name,trivy_image,0,0,0.0,no
alpine-3.20,alpine:3.20,apk,syft_spdx__trivy,trivy,0,0,0,trivy.Packages.SrcName!=Name,trivy_image,0,0,0.0,no
alpine-3.20,alpine:3.20,apk,grype_image,grype,1,14,8,grype.alertsByPackage.upstreams,grype_image,1,0,0.0,no
alpine-3.20,alpine:3.20,apk,syft_cdx__grype,grype,1,14,8,grype.alertsByPackage.upstreams,grype_image,1,0,0.0,no
alpine-3.20,alpine:3.20,apk,syft_spdx__grype,grype,1,14,8,grype.alertsByPackage.upstreams,grype_image,1,0,0.0,no
fedora-40,fedora:40,rpm,trivy_image,trivy,0,0,0,trivy.Packages.SrcName!=Name,trivy_image,0,0,0.0,no
fedora-40,fedora:40,rpm,syft_cdx__trivy,trivy,0,4,0,trivy.Packages.SrcName!=Name,trivy_image,0,0,0.0,no
fedora-40,fedora:40,rpm,syft_spdx__trivy,trivy,0,4,0,trivy.Packages.SrcName!=Name,trivy_image,0,0,0.0,no
fedora-40,fedora:40,rpm,grype_image,grype,17,149,67,grype.alertsByPackage.upstreams,grype_image,17,0,0.0,no
fedora-40,fedora:40,rpm,syft_cdx__grype,grype,17,149,67,grype.alertsByPackage.upstreams,grype_image,17,0,0.0,no
fedora-40,fedora:40,rpm,syft_spdx__grype,grype,17,149,67,grype.alertsByPackage.upstreams,grype_image,17,0,0.0,no
