scope,stage_id,stage_name,count,percent,cumulative_percent
all,S1,identity_resolution,14144,91.9337,91.9337
all,S2,manifest_lookup,1180,7.6698,99.6035
all,S3,symbol_table_usability,0,0.0000,99.6035
all,S4,provenance_gate,21,0.1365,99.7400
all,S5,symbol_stripped_gates,0,0.0000,99.7400
all,S5b,symbol_observability,35,0.2275,99.9675
all,S6,identity_unverified,0,0.0000,99.9675
all,S7,evidence_evaluation,5,0.0325,100.0000
firmware,S1,identity_resolution,5303,95.4979,95.4979
firmware,S2,manifest_lookup,237,4.2680,99.7659
firmware,S3,symbol_table_usability,0,0.0000,99.7659
firmware,S4,provenance_gate,12,0.2161,99.9820
firmware,S5,symbol_stripped_gates,0,0.0000,99.9820
firmware,S5b,symbol_observability,0,0.0000,99.9820
firmware,S6,identity_unverified,0,0.0000,99.9820
firmware,S7,evidence_evaluation,1,0.0180,100.0000
substitute-container,S1,identity_resolution,1326,84.6743,84.6743
substitute-container,S2,manifest_lookup,225,14.3678,99.0421
substitute-container,S3,symbol_table_usability,0,0.0000,99.0421
substitute-container,S4,provenance_gate,3,0.1916,99.2337
substitute-container,S5,symbol_stripped_gates,0,0.0000,99.2337
substitute-container,S5b,symbol_observability,12,0.7663,100.0000
substitute-container,S6,identity_unverified,0,0.0000,100.0000
substitute-container,S7,evidence_evaluation,0,0.0000,100.0000
